date,PM25,PM10,O3,SO2,NO2,CO,AQI,grade,factor
2015-03-24,20,41,52,12,44,13,52,良,O3
2015-03-23,33,62,41,13,52,15,62,良,PM10
2015-03-22,113,91,60,22,83,25,113,轻度污染,PM2.5
2015-03-21,148,86,50,26,105,35,148,轻度污染,PM2.5
2015-03-20,87,58,47,12,75,20,87,良,PM2.5
2015-03-19,107,66,42,21,73,28,107,轻度污染,PM2.5
2015-03-18,80,52,24,14,72,30,80,良,PM2.5
2015-03-17,52,38,44,11,57,23,57,良,NO2
2015-03-16,46,24,43,9,52,20,52,良,NO2
2015-03-15,73,48,58,11,44,23,73,良,PM2.5
2015-03-14,134,77,58,18,80,33,134,轻度污染,PM2.5
2015-03-13,128,89,56,25,107,33,128,轻度污染,PM2.5
2015-03-12,98,71,90,24,83,25,98,良,PM2.5
2015-03-11,63,56,44,19,82,20,82,良,NO2
2015-03-10,29,45,44,12,35,18,45,优,-
2015-03-09,54,45,42,11,38,20,54,良,PM2.5
2015-03-08,35,27,32,11,63,20,63,良,NO2
2015-03-07,42,35,50,14,50,18,50,优,-
2015-03-06,35,36,40,13,45,18,45,优,-
2015-03-05,22,33,38,11,35,13,38,优,-
2015-03-04,29,49,41,13,30,18,49,优,-
2015-03-03,107,64,40,17,50,25,107,轻度污染,PM2.5
2015-03-02,142,78,75,21,64,28,142,轻度污染,PM2.5
2015-03-01,109,70,44,21,53,25,109,轻度污染,PM2.5
2015-02-28,20,18,36,9,39,13,39,优,-
2015-02-27,28,33,44,10,35,15,44,优,-
2015-02-26,69,59,43,11,38,20,69,良,PM2.5
2015-02-25,33,30,40,10,54,18,54,良,NO2
2015-02-24,60,79,48,12,32,20,79,良,PM10
2015-02-23,70,92,48,16,30,18,92,良,PM10
2015-02-22,148,91,33,15,37,30,148,轻度污染,PM2.5
2015-02-21,80,52,26,11,35,25,80,良,PM2.5
2015-02-20,22,25,45,11,18,13,45,优,-
2015-02-19,28,31,47,14,23,13,47,优,-
2015-02-18,92,80,55,20,50,25,92,良,PM2.5
2015-02-17,152,109,62,20,54,33,152,中度污染,PM2.5
2015-02-16,149,80,33,17,58,38,149,轻度污染,PM2.5
2015-02-15,80,62,35,14,68,25,80,良,PM2.5
2015-02-14,77,67,81,18,45,20,81,良,O3
2015-02-13,64,53,65,20,63,20,65,良,O3
2015-02-12,210,122,41,51,89,40,210,重度污染,PM2.5
2015-02-11,108,75,49,27,101,28,108,轻度污染,PM2.5
2015-02-10,77,55,42,21,85,23,85,良,NO2
2015-02-09,38,37,37,17,53,18,53,良,NO2
2015-02-08,62,53,40,20,33,20,62,良,PM2.5
2015-02-07,147,85,38,34,110,35,147,轻度污染,PM2.5
2015-02-06,99,72,31,34,104,30,104,轻度污染,NO2
2015-02-05,120,72,39,33,75,28,120,轻度污染,PM2.5
2015-02-04,226,125,38,55,98,38,226,重度污染,PM2.5
2015-02-03,52,49,19,21,83,18,83,良,NO2
2015-02-02,36,36,23,16,64,15,64,良,NO2
2015-02-01,28,35,31,18,50,13,50,优,-
2015-01-31,48,43,36,18,42,18,48,优,-
2015-01-30,94,64,31,22,53,23,94,良,PM2.5
2015-01-29,18,16,26,11,50,15,50,优,-
2015-01-28,25,34,30,15,37,15,37,优,-
2015-01-27,67,54,34,15,39,20,67,良,PM2.5
2015-01-26,128,66,27,20,63,30,128,轻度污染,PM2.5
2015-01-25,168,91,31,25,89,38,168,中度污染,PM2.5
2015-01-24,139,83,40,22,93,30,139,轻度污染,PM2.5
2015-01-23,139,81,40,24,79,28,139,轻度污染,PM2.5
2015-01-22,166,90,14,34,77,38,166,中度污染,PM2.5
2015-01-21,139,99,28,33,90,28,139,轻度污染,PM2.5
2015-01-20,43,60,39,16,60,15,60,良,PM10
2015-01-19,117,106,31,37,92,33,117,轻度污染,PM2.5
2015-01-18,115,84,33,27,93,28,115,轻度污染,PM2.5
2015-01-17,100,68,32,20,45,23,100,良,PM2.5
2015-01-16,152,94,14,27,82,30,152,中度污染,PM2.5
2015-01-15,102,67,16,18,73,25,102,轻度污染,PM2.5
2015-01-14,29,21,28,10,53,18,53,良,NO2
2015-01-13,25,26,24,14,60,15,60,良,NO2
2015-01-12,26,,33,14,39,13,39,优,-
2015-01-11,249,139,42,63,112,45,249,重度污染,PM2.5
2015-01-10,240,150,29,57,130,56,240,重度污染,PM2.5
2015-01-09,203,129,22,53,124,50,203,重度污染,PM2.5
2015-01-08,94,72,27,41,92,28,94,良,PM2.5
2015-01-07,48,56,30,20,52,15,56,良,PM10
2015-01-06,109,79,29,21,50,25,109,轻度污染,PM2.5
2015-01-05,105,75,25,28,101,25,105,轻度污染,PM2.5
2015-01-04,166,100,18,51,121,40,166,中度污染,PM2.5
2015-01-03,128,90,27,40,99,30,128,轻度污染,PM2.5
2015-01-02,105,83,21,48,100,33,105,轻度污染,PM2.5
