id,shopName,shopAddress
1,肯德基黄浦南京东路店餐厅,黄浦区南京东路380号
1,肯德基黄浦市百餐厅,西藏中路462号-500号一百商城（新楼）
1,肯德基黄浦南浦大桥店餐厅,黄浦区南浦大桥
1,肯德基黄浦豫园路店餐厅,黄浦区豫园路11号
1,肯德基黄浦天潼餐厅,天潼路538号
1,肯德基黄浦豫安阁餐厅,方浜中路245号地下一层
1,肯德基宝山安信餐厅,牡丹江路1255号安信商业广场F区
1,肯德基宝山大华餐厅,华灵路1051号
1,肯德基宝山共康餐厅,共江路1168号
1,肯德基宝山牡丹江路店餐厅,牡丹江路1688号(近友谊路)
1,肯德基宝山长江西路店餐厅,长江西路2211号易买得1楼(近一号线通河新村站)
1,肯德基宝山聚丰餐厅,聚丰园路205号
1,肯德基宝山长江南路餐厅,长江南路5号
1,肯德基宝山长临餐厅,共康路555号
1,肯德基宝山吴淞餐厅,水产路1234号
1,肯德基宝山虎城餐厅,大华路518号
1,肯德基宝山蕴川餐厅,蕴川路1557号
1,肯德基宝山龙镇路店餐厅,龙镇路200弄2号(近德都路)
1,肯德基宝山牡丹江餐厅,同泰北路401号
1,肯德基宝山水产西路店餐厅,宝山区水产西路999号
1,肯德基宝山宝山万达餐厅,128纪念路988弄1号401-2
1,肯德基宝山美兰餐厅,罗芬路1088号
1,肯德基宝山嘉年华店餐厅,宝山区大华路520号虎城嘉年华1楼
1,肯德基宝山长江南路地铁站店餐厅,宝山区长江南路地铁站1楼
1,肯德基宝山沪太路店餐厅,宝山区沪太路
1,肯德基宝山顾村餐厅,上海水产西路957号
1,肯德基宝山宝山餐厅,牡丹江路1688号
1,肯德基宝山月浦餐厅,龙镇路200弄2-5号
1,肯德基宝山淞南餐厅,长江南路553号
1,肯德基宝山宝翔餐厅,丰翔路3168号
1,肯德基宝山宝宸餐厅,长江西路2211号1层1FA-03号商铺
1,肯德基宝山刘行餐厅,菊盛路912—916号
1,肯德基闵行南方商城餐厅,沪闵路7388号5层
1,肯德基闵行吴中餐厅,吴中路1109号一层A商铺
1,肯德基闵行龙茗餐厅,龙茗路1048号（近顾戴路）
1,肯德基闵行闵行餐厅,江川路279号
1,肯德基闵行莘松餐厅,莘松路855号
1,肯德基闵行春申餐厅,春申路2801号
1,肯德基闵行华漕大润发店餐厅,华漕镇繁兴路399弄2号大润发(近保乐路)
1,肯德基闵行东川餐厅,东川路2088号－2098号
1,肯德基闵行贵都餐厅,都路3366号
1,肯德基闵行七莘餐厅,七莘路695号
1,肯德基闵行龙柏餐厅,虹淞路505号
1,肯德基闵行七莘路一店餐厅,七莘路3157号(近新龙路)
1,肯德基闵行七莘路二店餐厅,七莘路3655号(近沪星路)
1,肯德基闵行莘庄餐厅,莘东路255号
1,肯德基闵行莘建餐厅,水清南路20号
1,肯德基闵行颛桥餐厅,颛兴路89、93、113号一至二层
1,肯德基闵行合川餐厅,虹中路535号
1,肯德基闵行汇宝餐厅,漕宝路3509号
1,肯德基闵行吴泾餐厅,宝秀路667号
1,肯德基闵行罗秀餐厅,罗秀路1825号
1,肯德基闵行水清路店餐厅,水清路1390号大润发超市内(近顾戴路)
1,肯德基闵行虹桥火车站店餐厅,闵行区虹桥火车站B1楼
1,肯德基闵行莘庄龙之梦店餐厅,闵行区沪闵路6088号莘庄凯德龙之梦购物中心
1,肯德基闵行仲盛店餐厅,闵行区都市路5001号仲盛世界商城B1楼
1,肯德基闵行虹桥机场餐厅,虹桥路2550号
1,肯德基闵行乐购餐厅,七莘路3155号
1,肯德基闵行漕宝路店餐厅,闵行区漕宝路1574号易买得购物中心1楼
1,肯德基闵行漕宝店餐厅,闵行区虹莘路2988号漕宝购物中心1-2楼
1,肯德基闵行华夏东路店餐厅,闵行区华夏东路2255号卜峰莲花内
1,肯德基闵行江文餐厅,江文路589号一层A商铺
1,肯德基闵行红松路店餐厅,闵行区红松路114号
1,肯德基闵行绿地金御店餐厅,闵行区新南路1号绿地金御广场1楼
1,肯德基闵行金汇餐厅,华夏东路2255号
1,肯德基闵行吴中路二店餐厅,闵行区吴中路781号
1,肯德基闵行梅陇西路店餐厅,闵行区梅陇西路1566号
1,肯德基闵行保乐餐厅,繁兴路399弄2号
1,肯德基闵行名都餐厅,莘朱路168号B1
1,肯德基闵行高铁精选餐厅,虹桥火车站3F-JC-C10
1,肯德基闵行莘龙餐厅,沪闵路6088号
1,肯德基闵行明兴餐厅,新桥镇明兴路口家乐福新南路购物中心101号商铺
1,肯德基闵行龙城餐厅,七莘路3655号
1,肯德基闵行徐泾餐厅,育才路257-267号
1,肯德基闵行港澳餐厅,水清路1390号
1,肯德基闵行虹桥连廊餐厅,申昆路1500号3层CF322a
1,肯德基青浦嘉松餐厅,沪青平公路2888号C区213号
1,肯德基青浦育才路店餐厅,育才路259号
1,肯德基青浦青浦餐厅,青浦镇公园路461号
1,肯德基青浦盈港餐厅,青浦镇盈港路555号
1,肯德基青浦新风路店餐厅,新风路148号
1,肯德基青浦城中西路店餐厅,城中西路1号
1,肯德基青浦徐泾家乐福店餐厅,青浦区沪青平公路1829号家乐福徐泾店1楼
1,肯德基青浦新府北路店餐厅,青浦区华新镇新府北路
1,肯德基青浦华强街店餐厅,青浦区华强街118号
1,肯德基青浦华新餐厅,华新镇华强街239号B02商铺中1、2层
1,肯德基青浦朱家角餐厅,青浦新风路148号
1,肯德基青浦华徐餐厅,徐泾镇沪青平公路1829号
1,肯德基青浦绅富店餐厅,公园东路1289弄123、124号
1,肯德基松江欢乐谷店餐厅,佘山国家度假区林荫大道18号欢乐谷内
1,肯德基松江九亭餐厅,九亭镇九亭大街370号
1,肯德基松江松江新城餐厅,新松江路935号
1,肯德基松江文汇路店餐厅,文汇路818号(近龙源路)
1,肯德基松江新松江路店餐厅,新松江路935号(人民北路口)
1,肯德基松江荣乐路一店餐厅,荣乐中路8号
1,肯德基松江荣乐餐厅,荣乐中路552号
1,肯德基松江中山中路店餐厅,中山中路99号
1,肯德基松江泗泾镇店餐厅,泗泾镇江川北路134弄146号
1,肯德基松江金矿镇餐厅,佘山林湖路888号-1金矿镇区1号
1,肯德基松江新南路家乐福店餐厅,松江区新南路989号家乐福1楼
1,肯德基松江涞坊路店餐厅,松江区沪亭北路
1,肯德基松江三湘店餐厅,松江区梅家浜路1500弄17号三湘财富广场
1,肯德基松江大润发餐厅,黄兴路1616号
1,肯德基松江新桥餐厅,新桥镇新南街377号
1,肯德基松江思贤餐厅,思贤路778--180号
